course_name,course_code,description,learning_objectives,level,faculty,program,url
Building Engineering Studios,AR1A081,"The main topic of the Building Engineering Studio (BES) is the sustainable design of the technical aspects (construction, climate
and structure) in relation to the architectural aspects of the design.
The aim of materialization - the process of integrating sustainable and technical features - is to develop the initial concept into an
actual physical building, in which the quality of the initial concept is reinforced and enriched through interaction with all
relevant physical considerations. Physical and sustainable considerations can provide a valuable source of architectural
inspiration.","The student is able to design a coherent, significant, elaborated, correct and innovative design - on mainline and on aspects on
MSc 1 level.
For the MSc 1 building engineering studios this means:
The student's final design, as presented, must show that he or she has knowledge and understanding of:
the building engineering concept in relation to the architecture
the interaction between an architectural concept and a building engineering concept
development and elaboration in a sustainable way of technical aspects: construction, structure and climate.
Thus the student must present reasoned solutions and demonstrate skill in incorporating the sustainable, technical building
design effectively in the design process as a whole.",Master,Architecture and the Built Environment,"Master Architecture, Urbanism and Building Sciences",
Fundamentals of Housing Design,AR1AD014,"The Architecture & Dwelling MSc1 studio focusses on the fundamentals of the Dutch housing design and construction practice.
It deals with the themes of stacking & linking, repetition, access & circulation, dwelling typology, construction methods, climate
control and sustainability.
Students of the Fundamentals of Housing Design Studio design a residential complex in an urban environment in the
Netherlands. The design is accompanied/preceded by research into the design assignment and the specific topics of the studio.
Though topics may vary from one semester to the next, at the core of each studio lies the design of dwellings and of the dwelling
environment, complemented by research and literature study. Design work is done individually, while some of the research may
be performed in teams.
The Fundamentals of Housing Design Studio (AR1AD014) runs in conjunction with AR1A080, run by the Building Engineering
department. Both studios form one coherent whole and architecture and building engineering teachers will collaborate closely.","Upon completion of the course the student is able to
present a coherent, significant, elaborated, correct and innovative design of a medium sized building on MSC1 level;
implement the fundamentals of housing design (as defined in the course hand-out) correctly, coherently and consistently,
articulating the architectural appearance of a residential building;
critically reflect on his/her own design and design process.",Master,Architecture and the Built Environment,"Master Architecture, Urbanism and Building Sciences",
EXTREME architecture,AR1AE011,"The project is about building in an extreme situation, with respect to climate, location and function. Essence is the interaction
between the extreme circumstances, the technical solutions, and the architecture. Extreme circumstances do request technical
solutions which will be the starting point for the design development. The designer has to direct the 'engineer questions and
answers', towards the articulation of the form which is based on the integration of aesthetic and technology.
""Die Architectur des 21 Jahrhunderts hat ihre Unschuld verloren, Gebaude mussen etwas leisten"" Stefan Behnisch.
In the end, the student is able to understand technical solutions, to reflect on them, to applicate them and to transform them. And
the student is able to design a coherent design result.","The student is able to design a coherent, significant, elaborated, correct and innovative design - on mainline and on aspects on
MSC 1 level.
Specified for this course:
In the end the student is able to design a healthy coherent building in extreme conditions with a focus on technical and
architectural solutions: the student is able to apply, reflect and transform principles concerning climate, construction, structure
and architecture.",Master,Architecture and the Built Environment,"Master Architecture, Urbanism and Building Sciences",
Heritage and Architecture Design Studio: Architectonic Design,AR1AH010,"The object of this Heritage & Architecture studio is the architectural design for the re-use of a building or building-ensemble to
meet requirements of contemporary and future use.
A transformation framework will be made by the interpretation of the analysis of the urban context, the building and the program
requirements. Various aspects of designing in existing built structures are investigated by studying reference projects and","Upon completion of the Master 1 design project the student is able to:
- interpret cultural values on urban, architectural and technical scale and create a transformation framework and translate this to a
design.
- design with spatial and functional aspects.
- design in architectural heritage buildings. Concerned with preservation and renewal in existing architecture and values related
to architectural history and current questions on sustainability and socio-cultural aspects such as socio-cultural, ethical,
historical, philosophical, economical aspects.
design with aspects such as material, detailing, physics, structure, construction, and climate design
- present a coherent, significant, elaborated, correct and innovative design - on mainline and on aspects from a medium sized
building on MSC 1 level.
- explain the architectural design during a presentation by combining oral, written and graphic media (e.g., drawings, models)",Master,Architecture and the Built Environment,"Master Architecture, Urbanism and Building Sciences",
Interiors Buildings Cities MSc1 Design Project,AR1AI013,"Interiors Buildings Cities focuses on buildings and interiors that accommodate the different scales and gradations of public life
within the city, from the street to the public interior. It addresses the ways in which these can be situated in relation to place, time
and material culture.
Thinking beyond individual students and courses, the Chair considers its educational programme as a collective and reflective
space of study and discourse: an attitude that is intended to encompass the work of both students and staff. The Chair engages in
common questions concerning the public interior, questions of interiority, and their relations with the social and physical fabric
of the city as a whole.
House
The House of the MSc1 project is neither the representative monument of collective public life, nor is it the private house of an
individual. Instead it suggests and considers those buildings that stand between; intimate figures, which both inform and are
informed by the physical and social fabric of their immediate locality.
Such buildings are carefully wrought and spatially rich, both generous and adaptable, yet they also embody a degree of typicality
and a measure of the material culture of their place. Their interiors host the rooms and spaces that structure and draw a
community into consciousness of and in dialogue with itself.
Through a process of iterative drawing and large-scale modelling, supported by lectures and workshops, students will resolve the
design and technical integration of such a building and its principal interior spaces, considering it as a figure set within the
immediate context a carefully documented urban setting.
The MSc1 Design Project is paired with the Building Engineering Studio (AR1A080) coordinated by the Department of
Architectural Engineering & Technology.","Upon completion of the Master 1 studio trajectory the student:
-is able to present a coherent, significant, elaborated, correct and innovative design, on mainline and on aspects, from a medium
sized building on MSC 1 level.
- is able to demonstrate skills and knowledge to incorporate an understanding of the design process with regard to structural
design, materialisation of buildings and interiors, comfort and climate design
- is able to demonstrate skills and knowledge to incorporate an understanding of the design process with regards to the
appropriateness of the architectural intervention in its context and its elaboration from urban setting to interior.
In addition to the study goals, a specific description of the aims of the studio will be published in the Studio Manual, to be
distributed at the beginning of the course.",Master,Architecture and the Built Environment,"Master Architecture, Urbanism and Building Sciences",
Public Building Design Studio,AR1AP012,"The Public Building Group investigates the future of public buildings and their role in the built environment, by developing new
spatial formulas, programmatic articulations, and building components. The work of the Public Building Group involves
reinventing past structures and questioning existing typologies through research and design as well as research by design.
The MSc1 Public Building Design Studio explores the exceptional urban and cultural transformations within one of European
urban areas. The specific conditions of the contemporary metropolis serve as point of departure for the design of a mixed-use
public building that is centered on social, cultural and technical innovation. The continuous urban transformation of a complex
urban framework offers therefore the context for the emergence of new usage types of public buildings that can act as catalysts
for the further development of their environment. In that respect, urban densification plays a crucial role. The studio is developed
in close collaboration with the Building Engineering Studio, that runs parallel to this course. Therefore, the resulting architecture
shall pay attention to sustainability, energy efficiency, adaptability to climate change and, on a more general level, to the main
challenges prompted by the ecological transition and the digital agenda pursued by EU.","Students are expected to:
develop a design position with respect to the specific urban conditions and reflect on a coherent design strategy;
relate the assigned functional program to a coherent architectural concept and to construction as well;
learn to comprehend the potential of the public realm in its complex and heterogeneous terms via multiplicity, density, and
hybridization;
present a coherent, significant, elaborated, correct and innovative design (overall and in aspects) of a medium-sized public
building, where energy efficiency, adaptability to climate change and circularity in architecture coalesce;
introduce properties that make architectural interventions less singular in function, but more productive, more transformative
and resilient;
guarantee a final result where technical and spatial aspects are mutually related and explicitly integrated;
confront the complexity of existing architectural structures, by investigating spatial, technological, and constructive aspects;
design an innovative architecture which can contribute to improve adaptability to climate change as well as productivity of
technical solutions, materials and building physics;
formulate a compelling problem statement coherent with the expectation of a sustainable and energy efficient environment;
represent space in its complex interpenetration of people, architectures, technologies, materials.",Master,Architecture and the Built Environment,"Master Architecture, Urbanism and Building Sciences",
Bucky Lab Design,AR1B011,"The focus of the semester is an innovative building construction or facade design for an architectural related building, this may
be a part of a building, a pavillion or a facade. The task is a building component or a facade product in which all the important
technical and architectural aspects of a building are integrated. The first three weeks students individually research and analyse
the assignment in order to come up with an innovative concept. The remaining weeks of the semester are dedicated to a design
by research process in which all the main aspects of the design, from applied mechanics, material properties to production
techniques are researched ending in an integrated final design.
After the concept and design & engineering phase we will set up our mobile workshop and will build the concepts in a full scale
prototype.
The course will be finalised by a review of the prototype - possible improvements and changes will be summarised in the report
as also the overall process of the semester. The final product will be presented in a public presentation.","The student has a basic understanding of the field of science of Building Technology.
The student is able to design a building component understanding the relation between design, society, realisation,
materialisation and functioning.
The student is able to test and evaluate the design on functioning and performances.
The student is competent in collaborating with fellow students.
The student has gained the skills to build concept and presentation models in oder to help visualising their concept and ideas to a
non expert audience.
The student is able to visualise a complex system in an infografic.",Master,Architecture and the Built Environment,"Master Architecture, Urbanism and Building Sciences",
Climate Design,AR1B022,"This course will give a full overview of health, comfort, building physics, HVAC systems and sustainable climate design
necessary for Building Technology students.
The course focusses on content knowledge primarily, linking the research-focused Research and Methodology course, the
design&build-focused Bucky Lab Design course and the more specialised climate design courses offered during the MSc2 and
on.","The student will be able to:
- describe and explain the design performance indicators for sustainable, healthy, and comfortable buildings and urban
environments;
- explain the various types of energy systems at building, neighbourhood and city level including their effects on a sustainable
development;
- optimise the energy performance and Indoor Environmental Quality (IEQ) of buildings and building designs;
- make a conceptual design of HVAC systems in order op optimise energy and IEQ performances;
accounting for the interactions and relations between occupant, indoor environment, energy systems and building.",Master,Architecture and the Built Environment,"Master Architecture, Urbanism and Building Sciences",
Sustainable Architectural Materials and Structures,AR1B023,"The Sustainable Architectural Materials & Structures course equips students with the skills to develop efficient structures at
conceptual stage, make appropriate materials choices and design structural elements and structural systems with these materials.
This course also provides a foundation for the more advanced courses on materials and structures in subsequent parts of the BT
master programme. It consists of a series of lectures and associated workshops in order to:
- Cover the basic principles of practical design of typical architectural structures, with applications across a range of commonly-
used materials.
- Establish links between materials science and structural mechanics (taught in bachelor courses) towards the practical goal of
designing safe and sustainable structural systems.
- Demonstrate the importance of appropriate design decisions on materials choice and structural form at concept stage and the
use of simple effective tools to generate efficient design options.
- Provide the knowledge and tools required to evaluate the safety and sustainability of structural materials and systems.","On successful completion of this course students should be able to:
- Understanding the principles of conceptual structural design and fundamental material science.
- Create viable early-design-stage options of structural forms and material choices for given realistic scenarios.
- Applying simple hand calculations and simple supporting software to support building design choices on materials and
structural form.
- Evaluate the efficiency and appropriateness of the different options of materials choices and structural forms for building
design.
- Design safe and sustainable structural elements and structural systems underpinned by more detailed calculations.",Master,Architecture and the Built Environment,"Master Architecture, Urbanism and Building Sciences",
Introduction to Computational Design,AR1B024,"This course aims to introduce the uses of computational design methods within an integrated workflow. It is a hands-on design
course in which the students develop skills by working on a design assignment. The course introduces the students to a series of
practical workshops each of which focuses on a specific application such as gathering environmental data, developing spatial
designs, implementing performance analyses and digital fabrication. They are then asked to integrate all of these applications
within a comprehensive workflow to design, analyze, prototype and present a small scale architectural product.
The course content is composed of the following topics:
1. Introduction to Computational Design (Computational Spatial Geometry, Algorithmic Design, Visual Programming).
2. Data and Information Models (Spatial Data Acquisition, Database and Information Models).
3. Performance Based Computational Design (Using algorithms for Performance Analysis, Design Iterations towards
Rationalization).
4. Digital Materiality (CAD/CAM, Physical Computation).","1. Understand the uses of digital technologies in the design and production of the built environment.
2. Understand spatial data acquisition techniques.
3. Use database and information models for design development and analysis.
4. Formulate algorithms to generate solutions to architectural design and building engineering problems.
5. Create visual programs for design development, analyses and fabrication.",Master,Architecture and the Built Environment,"Master Architecture, Urbanism and Building Sciences",
Research and Methodology,AR1B032,"In this course students become acquainted with research methods applied in Building Technology, which deal with the issues of
building design and research, not as competing activities but rather as complementary. Research is a way to generate new
insights and new concepts for design in a systematic way, explore new realms and finding answers beyond the state of the art. It
is the cornerstone on which all progress in our modern society is founded. Research methods show us the way how to conduct
research in a systematic and reliable way. In this course you will learn how to execute a technical-scientific research framework
for experimental research, simulations, surveys, case studies and research through design; and how to consistently and coherently
report the results of such research.
In the first part, the students learn about different research methods and apply some of them in practical exercises. Moreover,
they learn to consistently and coherently report the results of such research.
During the second half of this course, based on the Bucky Lab Design project and/or the other MSc1 courses and/or the student's
own fascination, the students individually conduct a literature study on a chosen topic, resulting in a scientific (review) paper.","After successfully completing this course the student should be able to:
- explain scientific integrity and outline ethical issues when doing research.
- execute and report on a technical-scientific research framework for experimental research, simulations, surveys, case studies
and research by design;
- analyse a selected topic, in a consistent, coherent and well-structured review paper, with proper referencing;
- interpret the complex relationship between research and design as two aspects within building technology;",Master,Architecture and the Built Environment,"Master Architecture, Urbanism and Building Sciences",
Borders and Territories Design Studio,AR1BO010,"Extra-terrestrial Mining Institute
The educational program of Borders & Territories (B&T) focusses on the role of architecture in relation to the socio-political
developments within contemporary society. The B&T MSc 1 Studio will develop an Extra-terrestrial Mining Institute, and is
understood as a laboratory for the investigation of complex territorial, spatial, ecological, technical, and architectural practices
(both here and out there!).
By referring to the long-standing history of extraction practices as a mode of (trans-)forming the (sub-)surfaces of our planet, the
studio investigates the role of architecture for future institutions on the planetary scale and organizations, which deal with the
colonization and extraction of outer space. Such new scales of cooperation involve various geographies, nations, private
commercial bodies, legal frameworks, and (automated) infrastructures.
The studio investigates the specificity of architecture through precise acts of surveying, mapping, and model-making as integral
part of both design process as well as extractive practices. During the first quarter, a series of exercises will familiarize the
students with the approach of the B&T studio.
The students will design a campus for the Artemis Program, a NASA led program (2022-2025) whose eventual aim is to extract
extra-terrestrial resources. Beyond being simply a control room, the campus and its institutes is a geo-political anomaly, which at
the same time emerges from its unique programmatic and site conditions as well as from its problematic technical and ecological
requirements.
B&Ts MSc_1 Design Studio is integrated with BES.","-(cid:9)The student is able to develop a coherent, significant, elaborated, correct and innovative design for a medium sized building.
-(cid:9)The student is able to communicate key ideas and design skills and express theoretical knowledge.
-(cid:9)The student is able to establish an independent critical reflection and position regarding the design process and architectural
representation.
-(cid:9)The student is able to integrate the research and analysis into design process and concepts.",Master,Architecture and the Built Environment,"Master Architecture, Urbanism and Building Sciences",
Complex Projects Design Studio,AR1CP011,"As an introduction to Complex Projects, the MSc1 design studio called Dutch Change"" focuses on the Netherlands ground. By
getting familiar with the Dutch environment, the MSc students will learn to understand the complex system behind buildings and
establish a connection between building design and process improvement.
Within the studio, students will be guided to discover different changes in the Netherlands and their spatial impact on different
scales. During the design process, students will explore new architectural concepts and building types and they will build up a
narrative supporting the architectural design proposal. By identifying and making decisions on the balance between what
changes and what remains in Dutch architecture, students will be challenged to explore both the tradition of Dutch planning and
building culture. In the end, students will do an architectural design project in a Dutch city.","Upon completion of the MSc1 Complex Projects studio trajectory:
- The student will be able to present a coherent, significant, elaborated, correct and innovative design - on mainline and on
aspects from a medium-sized building on MSC 1 level.
- The student will be able to be aware of the connection between history and urban context and use architectural instruments to
respond to new challenges.
- The students will be able to work both with a group and independently, to coordinate different opinion and formalize an
efficient design process.
Study Goals continuation Upon completion of the MSc1, 2, 3 & 4 studio trajectory the student:
Has developed the skills in architectural design satisfying both aesthetic and technical/functional requirements. During the
trajectory the complexity of the architectural design increases leading to a level fit for architectural practice.
During this trajectory, skills are acquired to increasingly incorporate an understanding of the design process attained with regard
to architectural history and architectural theory, art, technology, and human sciences.
Additionally, skills are acquired to incorporate an understanding of the design process attained with regard to the relationship
between buildings, spaces and societys needs, including environmental aspects.
During MSc1, 2, 3 & 4 process skills are acquired to incorporate insights in and knowledge of the design process attained with
regard to methods of investigation and designing.
Together with the training with regard to aspects of building technology, during the MSc1, 2, 3 & 4 process skills are acquired
to incorporate an understanding of the design process with regard to structural design, the materialization of buildings, comfort,
and climate control.",Master,Architecture and the Built Environment,"Master Architecture, Urbanism and Building Sciences",
Architectural Design Crossovers Studio,AR1DC010,"Architectural Design Crossovers MSc1 studio is structured as an introduction to the study programs ambitions within the larger
framework of a multi-disciplinary approach.
The project sites and scopes within the studio intersect not only disciplinary boundaries but also provide a temporal and material
widening of the scope of the architectural project.
We consider the built environment the accumulation of not only social, economic, cultural and political layers but also an
intersection of environmental sources and flows. In this respect, the studio scans and investigates the built environment within
the European context, where potential sites are inquired for architectural constructs of cultural, technological, and material
synthesis. Shaped through intensive material and immaterial flows, these sites become both the object of study and also help the
students define the ""crossover"" themes to be explored. Therefore, the studio promotes exploratory and speculative approach with
grounded understanding of precedents and carefully selected cases.
Combined with the on-site survey data, the collective research serves the students with critical standpoints for their individual
design work.
An educational excursion (3-5 days) with an on-site workshop is part of the studio program.
The expenses for the excursion should be around ±250. The corresponding information is to be communicated at the first
meeting of the semester.","Upon completion of the MSc1 studio the students are able to:
- Analyze, evaluate and pursue a range of technical, programmatic, theoretical, historical and professional implications toward
the final design proposal.
- Integrate theoretical knowledge and practical skills into their design process.
- Reflect on the cross-disciplinary role of architecture within the wider discourse of the design field.
- Design and present a coherent, significant, elaborated, correct and innovative proposal for a medium sized building on MSc1-
level.",Master,Architecture and the Built Environment,"Master Architecture, Urbanism and Building Sciences",
"Form, Structure and Aesthetics",AR1FO010,"The central question in the studio is how aesthetical values can be achieved as a result of the integrated design process. Taking a
stand in the discussion evoked by this question will help to understand the role of the architect in a rapidly changing
environment.
In the debate about sustainability we see a consensus about the need for integration of sustainable solutions in architecture.
Doing research by design, inspired by the available sustainable solutions seems to be the best preparation for the near future.
Students will be guided in experimenting with specific technical solutions with a focus on aesthetics.
The main topics of the Studio:
The expression of structure and detail in architecture
The aesthetical design consequences of sustainable solutions in
architecture
We are looking for a formal expression, directly related to a clear guiding theme. The structure or construction and the detail are
part of this expression. Sometimes they can even become the guiding theme. At least the desired expression and technical
solutions will have a direct link to the proportions and materialisation. How can we use our intuition to integrate this into the
design?
The Form, Structure & Aesthetics Studio focusses on designing a culturally oriented building in the Netherlands. The design is
accompanied and preceded by research based on analysis. Design work is done individually, while some of the research will be
performed in teams.","Upon completion of the course the student is able to
(cid:9)present a coherent, significant, elaborated, correct and innovative design - on mainline and on aspects from a medium sized
building on MSC 1 level.
(cid:9) use and construct physical models, hand drawings and digital models to represent and research specific design themes.
(cid:9)understand and practice the concept of the integrated architectural design.
(cid:9)document and reflect on the design process and outcome.",Master,Architecture and the Built Environment,"Master Architecture, Urbanism and Building Sciences",
Architecture and Landscape: Design Studio,AR1LA011,"The studio focusses on the garden (domain) scale of landscape architecture, as the most condensed form of (the ontological
complex) landscape. The design project takes an in-depth look at physical landscape space, notions of context and human
experience, landscapes dynamics and change, and planting design. The site has delineated boundaries, a specific scope of
transformation and clearly defined ownership and operation. Integrating site and context (geographical, historical, cultural etc.)
into the design forms a central motif for the assignment. Knowledge, skills and stances are developed in interpretations of a
given landscape, working with landscape processes, conceptual design thinking, elaborating a landscape architectural (domain)
composition, articulating the relationship between concept, composition and design details, planting design and ethical
dimensions of landscape architecture.","By the end of this course, the student should be able to:
-(cid:9)identify, interpret and interrelate landscape qualities from a phenomenological perspective (human perception);
-(cid:9)identify, interpret and work with landscape processes: previous stages of a specific site and its topography; relationships
between environmental factors and resulting vegetation and topography over time;
-(cid:9)develop active reciprocities between phenomenological landscape analysis and conceptual design thinking;
-(cid:9)elaborate a landscape architectural composition, relating objective and subjective experiences of a site and expressing aspects of
time and movement as well as the sensory qualities of the landscape;
-(cid:9)create a coherent and clear relationship between concept, composition and detail;
-(cid:9)elaborate a planting scheme into a proposal which expresses the various spatial, sensorial, temporal and narrative dimensions of
the design;
-(cid:9)demonstrate a variety of presentation and communication techniques, expressing human experiences (scale, materiality), time
and movement;
-(cid:9)reflect on his/her own design, involving ethical considerations as an expression of theoretical perspectives on landscape,
landscape architecture and the relation between humans and nature.",Master,Architecture and the Built Environment,"Master Architecture, Urbanism and Building Sciences",
"Architecture and Landscape: Theory, Method and Critical",AR1LA021,"In this course different knowledge fields are introduced, revolving around landscape architectural composition. Phenomenology,
environmental psychology, compositional theory and planting knowledge will feed the students insight in landscape architectural
composition. Seminal landscape architectonical objects will be presented and discussed, with the emphasis on the discovery and
study of the complex compositional rules with which a design is built up and the relationship between composition and
perception. Theories, concepts and design aspects are brought into a wider scope addressing analytical and compositional
techniques and typological research. Furthermore, the role of planting will be explored and discussed in terms of space and time
dynamics. The emphasis is on basic knowledge of assortment and its application in landscape design in order to define and
organize space into imaginative compositions that evolve through time. Crucial is the understanding of the relationship of
planting with spaces and objects, with their natural surroundings (habitat) and their evolution in time. Field trips and literature
study will provide the material for studying and documenting examples of several species and their arrangements in order to
discover their spatial and environmental characteristics.","By the end of this course, you should be able to:
- identify and interpret the historical compositional repertoire of landscape architecture and its role in current practice;
- identify, interpret and discuss the formal qualities of plants and their spatial and perceptual characteristics;
- demonstrate a working knowledge of environment-behaviour theories
- describe, interpret, evaluate and critique landscape design in relation to composition and perception of outdoor space;
- demonstrate analytical drawing and writing techniques that reveal spatial and experiential qualities of planting compositions in
relation to their landscape context.",Master,Architecture and the Built Environment,"Master Architecture, Urbanism and Building Sciences",
Dutch Landscape: Design Studio,AR1LA051,"In the design course you formulate your own assignment within a defined challenge, in which different scales and perspectives
come together: water issues and the social structure of a rural society and ongoing spatial claims (like farming, energy
production, recreation, nature development) on the scale of a polder landscape.
The aim of the design is to explore the transition of landscape as a means of adapting and giving expression to existing landscape
patterns, leading to new landscape architectural (spatial and experiential) compositions in which beauty, landscape processes,
functionality and inclusiveness (of people, animals and plants) coincide.
You will design through scales from concept to detail, with an understanding of the area of influence, area of effect and area of
control. The design is based on a landscape analysis, understanding the spatial structure and patterns, which should lead to a
spatial composition for an imaginable future, allowing for and anticipating on social and ecological processes. You learn how to
design through time: from past relevant periods to new conditions for a desired future, according to the assignment that is
defined and developed by yourself.","By the end of this course, the student should be able to:
- identify and interpret the Dutch lowlands (polder) landscape, and its spatial formation, function and patterns;
- understand and integrate landscape engineering techniques and ecological knowledge related to planting succession, water/land
gradients and maintenance in the design;
- discuss and demonstrate the relationship between landscape analysis and landscape architectural design;
- explore landscape potentials by means of options and alternatives;
- understand the interdependence of land use, soil conditions, hydrological systems, vegetation characteristics and planting
proposals;
- apply landscape architectural design tools through scales: from ditch to horizon;
- create self-explanatory drawings, expressing systems, scale ranges, texture and materials of the landscape over time;
- reflect on your own design, involving ethical considerations as an expression of theoretical perspectives on landscape,
landscape architecture and the relation between humans and nature.",Master,Architecture and the Built Environment,"Master Architecture, Urbanism and Building Sciences",
"Dutch Landscape: Theory, Method and Critical Thinking",AR1LA061,"The course addresses the structures, layers, and components of the Dutch landscape and combines the following knowledge
fields: historical-geography, polder history, water management, morphology, landscape ecology (e.g., gradients, plant
geography), environmental philosophy (visions to landscape and nature) and social geography. Different analytical techniques:
cartography, photography, layer analysis, narratives, etc. will be used to reveal and represent the identity - which is: landscape
forming processes and their topographic appearance - of a specific landscape. You learn how to critically evaluate your insights
into the different aspects of landscapes in a descriptive well-illustrated document that takes the shape of a landscape biography.
You need to elaborate on the outcome of the analyses as input for future transformations.","By the end of this course, the student should be able to:
- map landscapes and landscape elements;
- identify, define, organize, valuate and represent different landscape forming processes and their spatial manifestation;
- identify, group, valuate and represent the spatial and visual, ecological, technical (land/water) and social conditions of a
specific landscape;
- document and express the integration of different fields of knowledge;
- elaborate on the outcome of the analyses for future transformations;
- identify, critically assess and apply different perspectives on nature and landscape.",Master,Architecture and the Built Environment,"Master Architecture, Urbanism and Building Sciences",
Research Methods 1,AR1MBE015,"In this course, students acquire methodological knowledge and practice their research design skills through designing an own
research, where methodological fit is designed between the research design components such as the research question(s), logic(s)
of inquiry, theoretical framework, and data collection and analysis. Furthermore, the research design includes research ethics and
data management.","After successfully completing the course, the student
1. is able to identify and compose research design components in the field of MBE;
2. is able to explain the concept of methodological fit and its rationale between research design components in the field of MBE;
3. is able to compose a basic research design in the field of MBE;
4. is able to identify typical ethical issues in research and plan a proper response; and
5. is able to plan research data management in terms of organization, storage, preservation, and sharing of collected data.",Master,Architecture and the Built Environment,"Master Architecture, Urbanism and Building Sciences",
Design and Construction Management,AR1MBE020,"The Design and Construction Management course will cover the range of knowledge required for overseeing these processes,
including:
- design and construction process and planning including the parties involved and their roles, responsibilities, positions,
capabilities and tasks;
- project management concepts, methods, performance and position;
- project organisation on the demand side and the supply side;
- quality management in design and construction;
- procurement, tendering and contracting;
- Management, leadership styles and other skills required to understand and deal with relational and contextual challenges.","The student:
- has insight into the real estate life cycle, the different interests of stakeholders and the risks they bare in the building process
and their management;
- has knowledge of project management concepts and methods commonly used in design and construction;
- has the ability to evaluate designs in terms of architectural quality, to seek a felicitous balance between cost and quality, and to
defend such choices;
- has knowledge of building project organisation forms, and their relative (dis)advantages
- has knowledge of the types and flows of communication and information common to building project management
- has insight into the project management issues raised by the need to apply sustainability measures in both design and
construction processes and products
- has insight and ability to motivate and lead in project management settings
- has ability to critically reflect on the application of project management concepts in design and construction projects",Master,Architecture and the Built Environment,"Master Architecture, Urbanism and Building Sciences",
Building Economics,AR1MBE025,"This course is titled Building Economics (5ects) and deals with relevant financial and economic concepts that are essential for
understanding the built environment. The courses focusses on real estate markets and includes: real estate financial modelling,
investment decisions in real estate, the relationship between real estate markets and the macro-economy, urban economic models
and patterns and the relation of real estate markets and financialisation. The course objectives are focused on the development of
both knowledge and (financial modelling and debating) skill development and takes the format of a blended learning course
design whereby online and on-campus are combined.","At the end of this course students are able to:
relate real estate market characteristics to observed market dynamics;
apply the basic principles of urban economics in real estate market analysis;
assess the financial and economic impact of real estate development following from investment analysis;
apply basic formulas and procedures for converting future cash flows and risk patterns to present value;
evaluate the financial feasibility of (public and private) real estate investment decisions;
debate the role of finance (and in particular financialisation) in real estate and the built environment.",Master,Architecture and the Built Environment,"Master Architecture, Urbanism and Building Sciences",
Real Estate Management,AR1MBE030,"The course first introduces the basics of real estate management through an overview of the past, current and future real estate
delivery models and their potential to fulfil user needs and meet the socio-economic and ecological challenges. The studied
models range from self-provision to acquisition via cooperation, markets and state initiatives. The models are situated within the
main management, social, economic and organisational theories.
The course then zooms in on how two particular types of users, namely organisations and households, are currently provided
with the real estate they need. Parallel to this theory immersion, students engage in an assignment case wherein they first assess
the performance of the current real estate provision for these two types of users and thereafter develop a strategy to improve this
provision in the future.
The first type of users that is studied in detail organisations range from small to large organisations across all industries and
services, and from the private to the public sector. The real estate management that addresses organisations is called Corporate
Real Estate (CRE) management. CRE managers provide the built assets that organisations employ to accommodate their
business. They aim at maximising the stake- and shareholder value of their organisation. CRE management should be well-
distinguished from the approach of a real estate investor or developer. The main performance indicators of the CRE manager are
the safety, reliability, adequateness, sufficiency and efficiency of the provided accommodation, not real estate profit! This course
studies how CRE strategies and operations respond to an organisations expectations and how they can continue to do so in the
future.
The second type of users that are studied in more detail in the course are households. These range from individuals to families,
communities and organised groups, from the low- and middle-income to the high-income, at the local, the national and global
levels. The real estate management that addresses households is commonly called Housing management. Acquiring the right
home is a crucial aspect of a households aspirations, albeit not simply a matter of individual choice as the housing market is an
imperfect market. Especially in larger cities housing production and pricing mechanisms limit the possibilities of (groups of)
users to attain their goals, and hinder social cohesion and urban competitiveness. As a consequence the delivery of housing in
developed economies became highly institutionalised, and different types of government interventions were introduced. Housing
managers are in need of improving the environmental sustainability of the housing stock, which constitutes the largest
investment challenge in the built environment. New housing delivery models are emerging to better realise the right to housing
for all in the future.","1.(cid:9)Understand the key delivery models of real estate, for the wide variety of users and types of real estate, and in more depth
how CRE and Housing provision can be aligned with the expectations of organisations and households respectively.
2.(cid:9)Apply the above knowledge through the development and execution of a performance analysis of real estate portfolios of
different kinds and scale levels, and through the evidence-based design of a future strategy for these portfolios
3.(cid:9)Critically evaluate these delivery models from the point of view of the key challenges for the future: their implications for the
end-users, society and eco-system.
4.(cid:9)Analyse current theories on their specificity and create buildings blocks for a generic real estate management theory.",Master,Architecture and the Built Environment,"Master Architecture, Urbanism and Building Sciences",
