course_name,course_code,description,learning_objectives,level,faculty,url,program
Organic Chemistry 2,4052ORGC2,"Dit college sluit nauw aan op het college organische chemie 1 (4051ORGC1) uit het eerste jaar. Daarnaast worden verscheidene nieuwe reacties behandeld zodat de student een totaal beeld krijgt van de basis reacties/mechanismen van de organische chemie:

- Nucleofiele (aromatische) substitutie
- Electrofiele aromatische substitutie
- Eliminaties
- Nucleofiele additie
- Electrofiele additie
- Cyclo additie
- Radicaal reacties

Zowel de reactiecondities als de mechanismen, het voorspellen van het reactieprodukt alsmede een retrosynthetische analyse zijn onderdeel van het college. De volgende onderwerpen komen aan bod: Diels-Alder, Wittig, nitering, diazotering, Sandmeyer, reductieve aminering, aminozuren, pI berekening, werking enzymen/cofactoren, Friedel-Crafts alkylering en acylering, alkylering van enolaten, Dieckmann, harde- en zachte nucleofielen.","De student:

- begrijpt de algemene termen van de organische chemie, zoals: nucleofiel, electrofiel, hard, zacht, vertrekkende groepen, pKa, intramoleculair, cycloadditie.
- kan de opgedane kennis en vaardigheden toepassen op de synthese van organische moleculen.
- begrijpt de achterliggende mechanismen van reacties.
- is in staat om de relaties te zien met andere chemische disciplines.
- begrijpt de relatieve reactiviteit van functionele groepen.",Bachelor,Applied Sciences,https://studiegids.tudelft.nl/courses/study-guide/educations/17186,['BSc Molecular Science and Technology (Bachelor)']
Separation Technology,4052SCHTE,"The Separation Technology course applies the thermodynamics and chemistry knowledge from previous courses, and relates this to one of the core steps in chemical industry: Separation. After each synthesis, one or more processes necessarily follow to separate the product from by-products and residual reactants, solvents and other additives. This course deals with the six most important separation processes, of which the first five tare based on phase equilibria.

1. Distillation
2. Extraction
3. Absorption
4. Adsorption
5. Crystallization
6. Membrane separations

Because thermodynamic phase equilibrium ultimately indicates which level of separation is aimed for by a system and moreover indicates how much work is required as a minimum, the following thermodynamic topics precede the relevant separation processes. And also, because modelling of chemical processes, requires a correct treatment of their thermodynamics, much attention is devoted to the fundaments of the thermodynamics of following systems.

1. Phase equilibrium
2. Ideal and non-ideal liquid vapor equilibrium
3. Non-ideal liquid-liquid equilibrium
4. Crystallization, liquid-solid equilibrium","1. Knowledge
a. The student is familiar with the most important industrial separation processes and the thermodynamics of physical and chemical equilibrium.
b. The student is familiar with the general recipe for drawing up mass and energy balances.

2. Insight and understanding
a. The student is able to interpret phase diagrams for ideal and non-ideal, reactive and non-reactive binary and ternary systems based on thermodynamic information available in the literature and to prepare them where necessary. The student is capable to describe aforementioneded systems thermodynamically.
b. The student is able to make a selection based on knowledge of basic principles.
c. The student is able to model the various forms of transport.

3. Application and analysis of the substance
a. The student is able to quantify the quality and yield of a separation process on the basis of the phase information provided.
b. The student is able to make the correct assumptions for modeling practical situations.
c. The student is able to quantify models from works, i.e. developing phase diagrams based on thermodynamic models and data, calculating mass and energy flows, to be able to determine basic dimensions of separation devices.

4. Synthesis and evaluation
a. The student is able to apply the basic principles to new situations and to assess the plausibility of a certain choice on its plausibility.
b. The student is able to prepare and assess the analysis of a (part of a) separation process and to
i. Method: the application of available theoretical or derived information;
ii. Numerical elaboration with the help of literature or experimental data;
iii. Plausibility of the accuracy and order of magnitude of the answers obtained.",Bachelor,Applied Sciences,https://studiegids.tudelft.nl/courses/study-guide/educations/17191,"['BSc Molecular Science and Technology (Bachelor)', 'MSc Chemical Engineering (Master)', 'Bridging Programme Chemical Engineering (Bridging)']"
Statistical Methods,4052STAME,"Grafische en numerieke samenvattingen van data

Inleiding tot kansrekenen

Elementaire combinatoriek

Voorwaardelijke kans: regel van Bayes, (on)afhankelijkheid van gebeurtenissen

Toevalsvariabelen: kansmassafunctie, kansdichtheidsfunctie, verdelingsfunctie

Standaardverdelingen: binomiaal, Poisson, geometrisch, normaal, uniform, exponentieel, Pareto

Verwachting en variantie, transformaties, ongelijkheid van Jensen

Multivariate toevalsvariabelen, gezamenlijke verdelingen, marginale dichtheidsfuncties, (on)afhankelijkheid van toevalsvariabelen

Covariantie en correlatie

Ongelijkheid van Chebyshev, wet van de grote aantallen, centrale limietstelling

Sampling en statistische modellen, steekproefgemiddelde en -variantie, historgram, empirische verdelingsfunctie, boxplot

Schatters: bias, efficiëntie, MSE

Lineaire regressie: univariaat en multivariaat, goodness of fit

Inleiding tot statistical learning

Betrouwbaarheidsintervallen voor gemiddelde en proportie, t-verdeling

Hypotheses toetsen: type I/II, p-waarde, significantieniveau, kritiek gebied, t-test voor 1 groep","Na afloop van deze cursus is de student in staat tot

(Conditionele) kansen berekenen

Discrete en continue stochasten gebruiken/toepassen

Werken met gezamenlijke verdelingen

Verwachting, variantie, covariantie en correlatie uitrekenen

Toepassen van de wet van de grote getallen en de centrale limietstelling

Data grafisch en numeriek te representeren

Statistische modellen op te stellen

Eigenschappen van schatters bepalen

Betrouwbaarheidsintervallen te maken

Hypothesetoetsen te formuleren en uit te voeren

Lineaire regressie uit te voeren

Interpretatie van data-analyse in Python of vergelijkbare software",Bachelor,Applied Sciences,https://studiegids.tudelft.nl/courses/study-guide/educations/17194,['BSc Molecular Science and Technology (Bachelor)']
Structure and Properties of Materials,4052STEVM,"""Soft Matter"" includes a class of materials from everyday life that exhibit characteristics of both liquids and solids. Such materials are found in a large part of traditional chemical en food products as well as in high-tech applications ranging from nano-medicine to energy.

This course offers an extensive overview of ""soft materials"", their properties, analysis methods and synthetic strategies and explores the relationship between their structure, dynamics and properties. Moreover, the course also illustrates how their properties can be used in traditional and high-tech chemical products.

The course starts with the chemical synthesis, molecular forces and principles needed to describe the elementary theories that underlie the structure and dynamics of these materials. It then develops further into the description of their microscopic and macroscopic properties. We will then examine how these quantities can be determined experimentally. The course deals with systems such as polymers, surfactants, dispersions and liquid crystals and learns how the different types of molecular interactions can be used in (advanced) applications","After successfully completing this course, students will be able to:

describe and discuss the properties of soft materials

calculate basic properties that characterize these materials

use elementary theories to describe the structure, dynamics and properties of soft materials

choose the appropriate characterization method for the evaluation of a certain characteristic

Understand and critically discuss basic concepts underlying the behavior of soft materials

to interpret quantitative experimental data

describe how molecular interactions and material structures can be used in an industrial application

propose molecular systems that are suitable for a specific application",Bachelor,Applied Sciences,https://studiegids.tudelft.nl/courses/study-guide/educations/17179,"['BSc Molecular Science and Technology (Bachelor)', 'Bridging Programme Chemical Engineering (Bridging)']"
Statistical Thermodynamics / Spectroscopy,4052STTS6,"Het college ""Statistical Thermodynamics and Spectroscopy"" bestaat uit twee onderdelen:

- Statistical Thermodynamics (Edgar Blokhuis)
- Spectroscopy (Jaco Geuchies)

* In de Statistische Thermodynamica gaan we dieper in op de Thermodynamica en demonstreren we hoe de begrippen uit de Thermodynamica zoals temperatuur en vrije energie kunnen worden begrepen in termen van de beweging van atomen en moleculen.

Hoofdstuk 1: korte herhaling Thermodynamica

Hoofdstuk 2: de link wordt gelegd tussen de Thermodynamica en de Statistische Thermodynamica welke leidt tot een formalisme om de vrije energie te bepalen uit de toegankelijke toestanden van het systeem.

Hoofdstuk 3: het formalisme uit Hoofdstuk 3 wordt toegepast op het Ideale Gas. We demonstreren hoe de Statistische Thermodynamica ons in staat stelt evenwichtsconstantes te bepalen uit Spectroscopische data.

* Spectroscopie is een algemene term voor wetenschappelijke meetmethoden die de interactie tussen materie en straling onderzoeken. In dit vak worden de algemene principes van de spectroscopie behandeld en leert de student het verband tussen spectroscopische data en de quantumchemische processen die hieraan ten grondslag liggen.

Behandelde onderwerpen zijn: moleculaire symmetrie, groepentheorie, atomaire spectroscopie, UV/Vis absorptiespectroscopie, infraroodspectroscopie en Raman-spectroscopie.","Learning objectives for spectroscopy:

The student is able to determine the (most important) quantum states of a given material (atoms, small molecules) and can assign these states to energy Terms.

The student is able to determine which quantum state(s) belong(s) to the ground state.

The student can rationalize which transitions between quantum states as a result of an absorption, emission or scattering event have a more than zero probability of taking place.

The student can determine which atomic orbitals, molecular orbitals, vibrational normal modes and energy terms belong to a particular irreducible representation and rationalize from there which transitions in vibrational and electronic spectroscopy are symmetry forbidden.

The student is able to determine which vibrational motion belongs to a particular transition in the infrared region.

The student is able to qualitatively predict which signals are to be observed in the rotational, vibrational or electronic spectrum of various materials ranging from single atoms (atomic spectroscopy) to large molecules (IR, Raman, UV-vis spectroscopy).",Bachelor,Applied Sciences,https://studiegids.tudelft.nl/courses/study-guide/educations/17195,['BSc Molecular Science and Technology (Bachelor)']
Theoretical Chemistry,4052THECH,"- elementen van de wiskunde van vectorruimten, differentiaal- en integraalrekening, complexe getallen
- introductie in fysische grondslagen van de quantummechanica
- quantum mechanica (de postulaten en de interpretatie ervan, observabelen)
- overeenkomst tussen quantummechanica en klassieke mechanica
- voorbeelden van quantummechanische systemen
- het H-atoom
- variatie theorema
- onafhankelijke deeltjes benadering
- meer-electron atomen, spin, Pauli-verbod, Aufbau
- Born-Oppenheimer benadering
- moleculaire orbitaal theorie, seculairvergelijking
- MO-LCAO
- kwalitatieve moleculaire orbitaaltheorie voor homo- en heteronucleaire twee-atomige moleculen, en AH2, AH3, en AH4 systemen","Na het volgen van Theoretische Chemie:

1. Kan de student de basis algebra die de basis voor de quantum mechanica vormt toepassen. Dit betreft commutatoralgebra en eenvoudige lineaire algebra.
2. Kan de student de postulaten van de quantum mechanica reproduceren.
3. Kan de student de vergelijkingen opschrijven (eventueel tot op een evenredigheidsconstante) die beschrijven hoe de energie van eenvoudige modelsystemen afhangt van de kwantumgetallen die die systemen beschrijven.
4. Kan de student aan de hand van eenvoudige modelsystemen uitleggen waar specifieke quantum fenomenen vandaan komen, zoals nulpuntsenergie en tunneling.
5. Kan de student beschrijven wat fermionen en electronspin zijn, evenals het Pauiprincipe. De student kan het Pauliprijncipe vertalen naar de wiskundige vorm van de golffunctie van veel; elektron systemen.
6. Kan de student wiskundige technieken zoals scheiden van variabelen en toepassen van orthogonaliteit gebruiken om relevante vergelijkingen af te leiden.
7. Kan de student op basis van het aufbauprincipe trends die zichtbaar zijn in het periodiek system in detail afleiden en verklaren.
8. Kan de student op basis van de orbitaalbenadering uitleggen wat de Hartreemethode is, en wat de Hartree-Fock methode is, en hoe die methoden verschillen.
9. Kan de student de seculair determinant en de seculairvergelijkingen gebruiken om de energieën van kleine moleculen en de bijbehorende eigenfuncties te bepalen.
10. Kan de studenten eenvoudige MO-theorie gebruiken om eigenschappen van twee-atomige moleculen (bijvoorbeeld het al dan niet paramagnetisch zijn van A2 moleculen) en van drieatomige moleculen (bijvoorbeeld de vorm van AH2, waarin A = Li-F) af te leiden en te verklaren. De student kan uitleggen wat de LCAO-methode is.
11. Kan de student uitleggen hoe de Born-Oppenheimer benadering gebruikt kan worden voor theoretische beschrijvingen van molecuulspectroscopie en de dynamica van chemische reacties.",Bachelor,Applied Sciences,https://studiegids.tudelft.nl/courses/study-guide/educations/17183,['BSc Molecular Science and Technology (Bachelor)']
Linear Analysis,4082LINAN,https://studiegids.universiteitleiden.nl/courses/131373/linear-analysis-bm,,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/17354,['MSc Quantum Information Science and Technology (Master)']
Applied Quantum Algorithms,4343APQAL,https://studiegids.universiteitleiden.nl/courses/131620/applied-quantum-algorithms,,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/17355,['MSc Quantum Information Science and Technology (Master)']
Introduction to Machine Learning,4343INTML,https://studiegids.universiteitleiden.nl/courses/131529/introduction-to-machine-learning,,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/17356,['MSc Quantum Information Science and Technology (Master)']
Introduction to Dynamical Systems,4373INTDS,https://studiegids.universiteitleiden.nl/courses/131372/introduction-to-dynamical-systems-bm,,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/17357,['MSc Quantum Information Science and Technology (Master)']
Representation Theory,4373REPTH,https://studiegids.universiteitleiden.nl/courses/131383/representation-theory-bm,,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/17358,['MSc Quantum Information Science and Technology (Master)']
Computational Physics A,4403CMPHAY,https://studiegids.universiteitleiden.nl/courses/131730/computational-physics-a,,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/17359,['MSc Quantum Information Science and Technology (Master)']
Computational Physics B,4403CMPHBY,https://studiegids.universiteitleiden.nl/courses/131731/computational-physics-b,,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/3775,['MSc Quantum Information Science and Technology (Master)']
Condensed Matter Physics,4403COPH6,https://studiegids.universiteitleiden.nl/courses/124003/condensed-matter-physics,,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/17360,['MSc Quantum Information Science and Technology (Master)']
Effective Field Theory,4403EFTH3Y,https://studiegids.universiteitleiden.nl/courses/131389/effective-field-theory,,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/23945,['MSc Quantum Information Science and Technology (Master)']
Physics of Machine Learning,4403PHML3Y,https://studiegids.universiteitleiden.nl/courses/136028/physics-of-machine-learning,,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/23944,['MSc Quantum Information Science and Technology (Master)']
Quantum Field Theory,4403QFTH6Y,https://studiegids.universiteitleiden.nl/courses/131392/quantum-field-theory,,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/23946,['MSc Quantum Information Science and Technology (Master)']
Quantum Optics,4403QOPT6,https://studiegids.universiteitleiden.nl/courses/131736/quantum-optics,,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/17362,['MSc Quantum Information Science and Technology (Master)']
Quantum Theory,4403QUTH6,https://studiegids.universiteitleiden.nl/courses/131390/quantum-theory,,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/17363,['MSc Quantum Information Science and Technology (Master)']
Statiscal Physics,4403STPHAY,https://studiegids.universiteitleiden.nl/courses/131391/statistical-physics-a,,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/17364,['MSc Quantum Information Science and Technology (Master)']
Theory of Condensed Matter,4403TCM06,"The course gives an introduction into the theory describing the emergence of macroscopic matter from interacting microscopic constituents.

This revolves around the explanation of emergence principles such as spontaneous symmetry breaking and long range order, adiabatic continuity, collective excitations such as Goldstone bosons, quasiparticles, and topological excitations, as they arise both in weakly- and strongly interacting systems.

We will explain the mathematical theories underlying the understanding of the following states of matter:

- The crystal, including the theory of quantum elasticity describing phonons and phonon interactions.

- Magnetism, with a focus on Mott-insulators and superexchange; spin-wave theory.

- Spin- and charge density waves in the weak coupling limit: the concept of nesting.

- The microscopic theory of superconductivity and superfluidity: from local pairs to the Bardeen-Cooper-Schrieffer theory.

- The Ginzburg-Landau effective field theory of macroscopic superconductivity.

- The Fermi-liquid including the origin of quasi-electrons, zero sound and plasmons.

With the help of the second quantization approach, perturbation theory and the mean-field theory the course introduces a number of fundamental concepts such as long-range order, spontaneous symmetry breaking, elementary, collective and topological excitations. These general concepts are illustrated on a range of archetypal examples such as crystalline solids, magnets, superfluids and superconductors and Fermi-liquid metals.","The course will provide students with an exercise ground to apply the mathematical techniques of quantum many body theory. This includes the second quantization formalism, Green's functions/propagators, linear response theory, perturbation theory, mean field theory, quantum statistical physics and elementary applications of the path-integral formalism.

At the end of the course you will be able to

- Construct second-quantized models of quantum many-body systems

- Calculate thermodynamic properties of model systems

- Calculate linear response functions (e.g. magnetic susceptibility) of model systems

- Describe elementary excitations of a model system

- Use perturbation theory in a many-body system

- Apply mean-field theory to interacting systems of bosons and fermions

- Construct topological excitations of a quantum fluid

- Use the random phase approximation

- Derive and solve the BSC equation for the superconducting gap

- Compute the pole strenght and effective mass of Fermi-liquid quasiparticles.",Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/3782,['MSc Quantum Information Science and Technology (Master)']
Theory of General Relativity,4403TGR64,"This course is taught at Leiden University.
Lecturer: Prof.dr. A. Achúcarro (achucar@lorentz.leidenuniv.nl)


The classical theory of gravity can be interpreted as the geometry of space-time.It combines the language of field theory with the language of differential geometry on manifolds. The basic concepts of these subjects will be introduced and it will be shown how they are used to describe gravitational phenomena, from relativistic corrections to orbits of planets and stars, to gravitational waves, black holes and the evolution of the universe at large.

Topics:

Equivalence principle, geodesic motion;

Differential geometry on manifolds, including the concepts of metric, connection and curvature;

Symmetries and Killing vectores;

Einstein equations, variational principle;

Schwarzschild solution, stars and black holes;

Cosmology of a homogeneous and isotropic universe;

Gravitational waves.","This course provides the basis for work in relativistic astronomy, cosmology, quantum gravity and applications. It will :

acquaint you with the concepts of field theory and differential geometry;

teach you to use these concepts to solve problems of gravitational physics and cosmology;

prepare you for advanced courses on gravitational physics and cosmology;

allow you to access the scientific literature on these topics and understand the recent progress in experimental and observational research.",Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/23478,['MSc Applied Physics (Master)']
Beyond Growth,4413BYGR5,"Beyond-growth

The world is plagued by many environmental and social problems. Climate and nature crises, rising inequalities (with countries and between the global north and global south) and polarization are just some of the issues with which societies are grappling with. Many scholars relate these problems to the economic system and the constant drive to growth the economy and the profits of companies and finance.

There is a renewed interest in “beyond-growth” paradigms such as degrowth, green growth and Doughnut Economics. Fundamentally these discussions are all about achieving inclusive and sustainable well-being, but they differ significantly in their proposals. Given the many ecological and social crises of our time, the discussion could not be more urgent.

Yet similar warnings about the “limits to growth” have been around for many decades. It is not sufficient to simply articulate the problems or suggest policy solutions. These are often know and have been repeated many times. The main problem is one of implementation: the available diagnosis and solutions are not sufficiently adopted. Why is this the case?

This course will provide students with scientific tools and insights which will help them develop their ideas about how to work towards concrete implementation of post-growth ideas. This will require knowledge of the scientific and empirical literature as well as an understanding of the role of institutions and narratives in shaping society.

This course is part of the joint degree MSc Industrial Ecology, offered by Leiden University and Delft University of Technology. More information about the course is published in the online study guide of Leiden University",,Master,"Technology, Policy and Management",https://studiegids.tudelft.nl/courses/study-guide/educations/20247,['MSc Industrial Ecology (IE) (Master)']
Circular Economy,4413CIRC5,"Circular Economy

This course is a first-year elective module for the joint degree MSc Programme on Industrial Ecology. The course teaches concepts, methods, tools, and indicators related to the circular economy.

This course is part of the joint degree MSc Industrial Ecology, offered by Leiden University and Delft University of Technology. More information about the course is published in the online study guide of Leiden University",,Master,"Technology, Policy and Management",https://studiegids.tudelft.nl/courses/study-guide/educations/20252,['MSc Industrial Ecology (IE) (Master)']
Earth System Science and Analysis,4413EASYS,"Earth System Science and Analysis

This course provides knowledge on the Earth system as viewed through 4 spheres (biosphere, geosphere, hydrosphere, and atmosphere), including Earth’s evolution over the 4.5 billion years of its existence, and highlighting the importance of the carbon, nutrient, and water cycles for life on our planet. It introduces students to Earth and its resources, from a system dynamics perspective, and as a guiding analogy for sustainable systems. The course follows an interdisciplinary approach that blends biological, chemical, and physical perspectives not just qualitatively, but also quantitatively using Python programming. Finally, this course also introduces students to Earth system models, their capabilities, and limitations.

This course is part of the joint degree MSc Industrial Ecology, offered by Leiden University and Delft University of Technology. More information about the course is published in the online study guide of Leiden University",,Master,"Technology, Policy and Management",https://studiegids.tudelft.nl/courses/study-guide/educations/20236,['MSc Industrial Ecology (IE) (Master)']
Environmental Input-Output Analysis,4413EIOAT,"Environmental Input-Output Analysis

In this course, students systematically study Environmental Input-Output Analysis (EIOA). EIOA is a standard methodology for assessing environmental footprints (e.g. carbon footprints) and analysing the production and consumption structures within one or across economies. Economic and environmental analyses are inherently integrated for EIOA.

The course is divided into two parts. The first part introduces the fundamental concepts and models used in EIOA, such as the monetary input-output tables, environmental footprint calculations for nations, and scenario modelling. The second part of the course introduces several advanced EIOA techniques and illustrates how they have been used for analysing sustainability issues, such as the socio-economic and environmental effects of international trade and circular economy strategies, the main immediate drivers of changing environmental pressures imposed by human activities (e.g. CO2 emissions) and the use of physical input-output tables for agricultural related studies.

The course follows a hands-on approach. Each lecture is accompanied by individual exercises, in which students can practice the theory while applying and developing their python programming skills. As a 10-EC course, the weekly study load is about 10 hours.

This course is part of the joint degree MSc Industrial Ecology, offered by Leiden University and Delft University of Technology. More information about the course is published in the online study guide of Leiden University",,Master,"Technology, Policy and Management",https://studiegids.tudelft.nl/courses/study-guide/educations/20251,['MSc Industrial Ecology (IE) (Master)']
GIS: Spatial analysis in urban regions,4413GIS20,"Spatial analysis in Urban Regions

Geographical Information Systems (GIS) are computer systems with which data, with a spatial reference to earth’s surface, can be inputted, stored, controlled, analyzed, modelled, integrated and represented. Spatial analysis answers questions related to what is where.

GIS is used to answer various location-related questions in Industrial Ecology research, including urban mining prospecting, supply chain analysis, land use change, at-risk material stocks, socioeconomic metabolism, local environmental impacts and attribution, and many other applications.

In this course, students learn the concepts and hands-on uses of GIS software and apply it to practical industrial ecology research.
The students will work in groups (4-5 students) on an assignment exploring a spatial question related to one or more of the above-mentioned topics.

The students will conduct this study using GIS software and literature research.

The result of this case study will be a report and a presentation at the end of the course. The report has to include system boundaries, methodology and steps in the analysis as well as the results of the case study and some conclusions and discussion.

This course is part of the joint degree MSc Industrial Ecology, offered by Leiden University and Delft University of Technology. More information about the course is published in the online study guide of Leiden University",,Master,"Technology, Policy and Management",https://studiegids.tudelft.nl/courses/study-guide/educations/20246,['MSc Industrial Ecology (IE) (Master)']
Industrial Ecology Capita Selecta Module,4413IECS2Y,"A Capita Selecta is not a regular course, but refers to an additional piece of work, which is not covered by any other course or part of the programme. It is a way of receiving study credits for a ‘course’ designed yourself. It can have the form of a separate piece of scientific research which results in a report or some other tangible product, an individual course on the basis of literature and other sources, a literature review or any other scientific piece of work. A Capita Selecta is always supervised by a core examiner of the MSc Industrial Ecology programme. The list of core examiners can be found on the general Industrial Ecology Brightspace page. Approval of the Board of Examiners is needed before the start of the Capita Selecta, the proposal form for a Capita Selecta can be found on the MSc Industrial Ecology Brightspace page.

Depending on the workload of the project, the Industrial Ecology Capita Selecta Module can equal 2, 3, 4, 5, or 6 EC.

Coursecodes:

4413IECS2Y (2 EC)

4413IECS3Y (3 EC)

4413IECS4Y (4 EC)

4413IECS5Y (5 EC)

4413IECS6Y (6 EC)

This course is part of the joint degree MSc Industrial Ecology, offered by Leiden University and Delft University of Technology. More information about the course is published in the online study guide of Leiden University",,Master,"Technology, Policy and Management",https://studiegids.tudelft.nl/courses/study-guide/educations/21291,['MSc Industrial Ecology (IE) (Master)']
Industrial Ecology Capita Selecta Module,4413IECS3Y,"A Capita Selecta is not a regular course, but refers to an additional piece of work, which is not covered by any other course or part of the programme. It is a way of receiving study credits for a ‘course’ designed yourself. It can have the form of a separate piece of scientific research which results in a report or some other tangible product, an individual course on the basis of literature and other sources, a literature review or any other scientific piece of work. A Capita Selecta is always supervised by a core examiner of the MSc Industrial Ecology programme. The list of core examiners can be found on the general Industrial Ecology Brightspace page. Approval of the Board of Examiners is needed before the start of the Capita Selecta, the proposal form for a Capita Selecta can be found on the MSc Industrial Ecology Brightspace page.

Depending on the workload of the project, the Industrial Ecology Capita Selecta Module can equal 2, 3, 4, 5, or 6 EC.

Coursecodes:

4413IECS2Y (2 EC)

4413IECS3Y (3 EC)

4413IECS4Y (4 EC)

4413IECS5Y (5 EC)

4413IECS6Y (6 EC)

This course is part of the joint degree MSc Industrial Ecology, offered by Leiden University and Delft University of Technology. More information about the course is published in the online study guide of Leiden University",,Master,"Technology, Policy and Management",https://studiegids.tudelft.nl/courses/study-guide/educations/21292,['MSc Industrial Ecology (IE) (Master)']
Industrial Ecology Capita Selecta Module,4413IECS4Y,"A Capita Selecta is not a regular course, but refers to an additional piece of work, which is not covered by any other course or part of the programme. It is a way of receiving study credits for a ‘course’ designed yourself. It can have the form of a separate piece of scientific research which results in a report or some other tangible product, an individual course on the basis of literature and other sources, a literature review or any other scientific piece of work. A Capita Selecta is always supervised by a core examiner of the MSc Industrial Ecology programme. The list of core examiners can be found on the general Industrial Ecology Brightspace page. Approval of the Board of Examiners is needed before the start of the Capita Selecta, the proposal form for a Capita Selecta can be found on the MSc Industrial Ecology Brightspace page.

Depending on the workload of the project, the Industrial Ecology Capita Selecta Module can equal 2, 3, 4, 5, or 6 EC.

Coursecodes:

4413IECS2Y (2 EC)

4413IECS3Y (3 EC)

4413IECS4Y (4 EC)

4413IECS5Y (5 EC)

4413IECS6Y (6 EC)

This course is part of the joint degree MSc Industrial Ecology, offered by Leiden University and Delft University of Technology. More information about the course is published in the online study guide of Leiden University",,Master,"Technology, Policy and Management",https://studiegids.tudelft.nl/courses/study-guide/educations/21293,['MSc Industrial Ecology (IE) (Master)']
Industrial Ecology Capita Selecta Module,4413IECS5Y,"A Capita Selecta is not a regular course, but refers to an additional piece of work, which is not covered by any other course or part of the programme. It is a way of receiving study credits for a ‘course’ designed yourself. It can have the form of a separate piece of scientific research which results in a report or some other tangible product, an individual course on the basis of literature and other sources, a literature review or any other scientific piece of work. A Capita Selecta is always supervised by a core examiner of the MSc Industrial Ecology programme. The list of core examiners can be found on the general Industrial Ecology Brightspace page. Approval of the Board of Examiners is needed before the start of the Capita Selecta, the proposal form for a Capita Selecta can be found on the MSc Industrial Ecology Brightspace page.

Depending on the workload of the project, the Industrial Ecology Capita Selecta Module can equal 2, 3, 4, 5, or 6 EC.

Coursecodes:

4413IECS2Y (2 EC)

4413IECS3Y (3 EC)

4413IECS4Y (4 EC)

4413IECS5Y (5 EC)

4413IECS6Y (6 EC)

This course is part of the joint degree MSc Industrial Ecology, offered by Leiden University and Delft University of Technology. More information about the course is published in the online study guide of Leiden University",,Master,"Technology, Policy and Management",https://studiegids.tudelft.nl/courses/study-guide/educations/21294,['MSc Industrial Ecology (IE) (Master)']
Industrial Ecology Capita Selecta Module,4413IECS6Y,"A Capita Selecta is not a regular course, but refers to an additional piece of work, which is not covered by any other course or part of the programme. It is a way of receiving study credits for a ‘course’ designed yourself. It can have the form of a separate piece of scientific research which results in a report or some other tangible product, an individual course on the basis of literature and other sources, a literature review or any other scientific piece of work. A Capita Selecta is always supervised by a core examiner of the MSc Industrial Ecology programme. The list of core examiners can be found on the general Industrial Ecology Brightspace page. Approval of the Board of Examiners is needed before the start of the Capita Selecta, the proposal form for a Capita Selecta can be found on the MSc Industrial Ecology Brightspace page.

Depending on the workload of the project, the Industrial Ecology Capita Selecta Module can equal 2, 3, 4, 5, or 6 EC.

Coursecodes:

4413IECS2Y (2 EC)

4413IECS3Y (3 EC)

4413IECS4Y (4 EC)

4413IECS5Y (5 EC)

4413IECS6Y (6 EC)

This course is part of the joint degree MSc Industrial Ecology, offered by Leiden University and Delft University of Technology. More information about the course is published in the online study guide of Leiden University",,Master,"Technology, Policy and Management",https://studiegids.tudelft.nl/courses/study-guide/educations/21295,['MSc Industrial Ecology (IE) (Master)']
